Ticker,ISIN,CUSIP,Name,Global Broad Category Group,Global Category,Morningstar Category,Domicile,Exchange,Exchange Country,SecId,Investment Type,Figi
NXF.B,CA31865G2027,31865G202,First Asset EgyGntsCovCallETFComm(UnHdg),Equity,Energy Sector Equity,Canada Fund Energy Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000VBQS,Exchange-Traded Fund,BBG008314939
FGO.U,CA31867P1018,31867P101,First Asset Enhanced Government Bond ETF,Fixed Income,Global Fixed Income,Canada Fund Global Fixed Income,Canada,TORONTO STOCK EXCHANGE,Canada,0P0001E258,Exchange-Traded Fund,BBG00LLCV1L3
FGO,CA31867P1018,31867P101,First Asset Enhanced Government Bond ETF,Fixed Income,Global Fixed Income,Canada Fund Global Fixed Income,Canada,TORONTO STOCK EXCHANGE,Canada,F000010UGO,Exchange-Traded Fund,BBG00LLCV1L3
FSB,,31866W107,First Asset Enhanced ShrtDur Bd ETF Comm,Fixed Income,Global Fixed Income,Canada Fund Global Fixed Income,Canada,TORONTO STOCK EXCHANGE,Canada,F00000ZH4M,Exchange-Traded Fund,BBG00HNV5KD4
FSB.U,CA31866W2067,31866W206,First Asset Enhanced ShrtDur Bd ETF USD,Fixed Income,Global Fixed Income,Canada Fund Global Fixed Income,Canada,TORONTO STOCK EXCHANGE,Canada,F00000ZKH3,Exchange-Traded Fund,BBG00HVYYCT8
FHB,CA31864V1013,31864V101,First Asset European Bank ETF Comm,Equity,Financials Sector Equity,Canada Fund Financial Services Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000TYHG,Exchange-Traded Fund,BBG006WVN4X2
FSF,CA31867G2009,31867G200,First Asset Global Financial Sector ETF,Equity,Financials Sector Equity,Canada Fund Financial Services Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000X6FL,Exchange-Traded Fund,BBG0077S2MT3
FHI,CA31867F1036,31867F103,First Asset Hlth Cr Gnts CovCll ETF Comm,Equity,Healthcare Sector Equity,Canada Fund Sector Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F000010NKP,Exchange-Traded Fund,BBG00L4D1BM0
FHI.B,CA31867F2026,31867F202,First Asset Hlth Cr Gnts CovCll ETF UnH,Equity,Healthcare Sector Equity,Canada Fund Sector Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F000010NKQ,Exchange-Traded Fund,BBG00L4D1FG8
FIG,CA31866B1031,31866B103,First Asset Investment Grade Bond ETF,Fixed Income,Canada Fixed Income,Canada Fund Canadian Corporate Fixed Income,Canada,TORONTO STOCK EXCHANGE,Canada,F00000XNF1,Exchange-Traded Fund,BBG000P62C27
FIG.U,CA31866B1031,31866B103,First Asset Investment Grade Bond ETF,Fixed Income,Canada Fixed Income,Canada Fund Canadian Corporate Fixed Income,Canada,TORONTO STOCK EXCHANGE,Canada,0P0001CDJZ,Exchange-Traded Fund,BBG000P62C27
FLB,CA31866V1094,31866V109,First Asset Long Duration Fixed Inc ETF,Fixed Income,Canada Fixed Income,Canada Fund Canadian Long Term Fixed Income,Canada,TORONTO STOCK EXCHANGE,Canada,F00000X8N4,Exchange-Traded Fund,BBG00CX1D6F0
RWC,CA31864C1032,31864C103,First Asset MSCI Canada LR Wgt ETF Comm,Equity,Canadian Equity Large Cap,Canada Fund Canadian Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000SRRR,Exchange-Traded Fund,BBG0060CNH06
FQC,CA31866L7051,31866L705,First Asset MSCI Canada Quality Cl ETF,Equity,Canadian Equity Large Cap,Canada Fund Canadian Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000X7NL,Exchange-Traded Fund,BBG00CTTV897
RWE,CA31864R1001,31864R100,First Asset MSCI EurLRWgtETF Comm (CADH),Equity,Europe Equity Large Cap,Canada Fund European Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000SPOM,Exchange-Traded Fund,BBG005ZL12K5
RWE.B,CA31864R3080,31864R308,First Asset MSCI EurLRWgtETF Comm(UnHdg),Equity,Europe Equity Large Cap,Canada Fund European Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000SPOO,Exchange-Traded Fund,BBG005ZL22F0
RWX,,31866Q100,First Asset MSCI Intl LRWgt ETF,Equity,Global Equity Large Cap,Canada Fund International Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000ZFAQ,Exchange-Traded Fund,BBG00HKBVYY9
RWX.B,,31866Q209,First Asset MSCI Intl LRWgt ETF Uhgd,Equity,Global Equity Large Cap,Canada Fund International Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000ZFAR,Exchange-Traded Fund,BBG00HKBW394
RWU,CA31864E1097,31864E109,First Asset MSCI USA LRWgt ETF CADH Comm,Equity,US Equity Large Cap Blend,Canada Fund US Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000SPOQ,Exchange-Traded Fund,BBG005ZL2HR4
RWU.B,CA31864E3077,31864E307,First Asset MSCI USA LRWgt ETF Uhgd Comm,Equity,US Equity Large Cap Blend,Canada Fund US Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000SPOS,Exchange-Traded Fund,BBG005ZL2SD5
RWW,CA31864D1015,31864D101,First Asset MSCI WldLRWgtETF Comm (CADH),Equity,Global Equity,Canada Fund Global Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000SRRT,Exchange-Traded Fund,BBG0060CN9G7
RWW.B,CA31864D3094,31864D309,First Asset MSCI WldLRWgtETF Comm(UnHdg),Equity,Global Equity,Canada Fund Global Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000SRRV,Exchange-Traded Fund,BBG0060CND78
DXM,CA3186221071,318622107,First Asset Mstar Can DivTgt 30 ETF Comm,Equity,Canadian Equity Large Cap,Canada Fund Canadian Dividend & Income Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000NP1M,Exchange-Traded Fund,BBG002H2V034
WXM,CA31864A1075,31864A107,First Asset Mstar Canada Mom ETF Comm,Equity,Canadian Equity Large Cap,Canada Fund Canadian Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000NQJZ,Exchange-Traded Fund,
FXM,CA31862B1076,31862B107,First Asset Mstar Canada Value ETF Comm,Equity,Canadian Equity Large Cap,Canada Fund Canadian Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000NQJX,Exchange-Traded Fund,BBG002N8R7Y0
QXM,CA31862A1093,31862A109,First Asset Mstar NatlBk Qu_bec ETF Comm,Equity,Canadian Equity Large Cap,Canada Fund Canadian Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000NP1Q,Exchange-Traded Fund,BBG002H2M2W8
YXM,CA31864M1196,31864M119,First Asset Mstar US Mom ETF CADH Comm,Equity,US Equity Mid Cap,Canada Fund US Small/Mid Cap Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000QKWC,Exchange-Traded Fund,BBG005FHW1C3
