id,ticker,issue_name,management_fee,other_expenses,total_expenses,fee_waivers,net_expenses,source,source_date,created_at,updated_at,lock_revision
0798b04a-032e-4a4b-90d0-f0f5b3ed0168,UHN,"United States Diesel-Heating Oil Fund, LP Units",0.6,1.56,2.16,-1.41,0.75,Prospectus,4/27/2018,,,
298334b0-0e58-4a7f-9e90-f83d9c13fd94,ULE,ProShares Ultra Euro,0.95,0.06,1.01,0,1.01,Prospectus,3/29/2018,,,
3b63da80-9006-4afb-b190-34e4c7fa8500,UNG,"United States Natural Gas Fund, LP Units",0.6,0.7,1.3,0,1.3,Prospectus,4/27/2018,,,
4f0064a5-70e2-49f9-bab7-3f26c827b0a3,UNL,"United States 12 Month Natural Gas Fund, LP Units",0.75,0.74,1.49,-0.59,0.9,Prospectus,4/27/2018,,,
8a49ad11-1fd4-49b5-bbd1-6d30320b6f5f,USAG,United States Agriculture Index Fund,0.65,2.62,3.27,-2.47,0.8,Prospectus,4/27/2018,,,
baffb25f-741b-4528-ae88-c27ef9a322da,USCI,United States Commodity Index Fund,0.8,0.24,1.04,0,1.04,Prospectus,4/27/2018,,,
940a08e0-9f39-4a61-bb57-dccbf9459cc6,USL,"United States 12 Month Oil Fund, LP Units",0.6,0.26,0.86,0,0.86,Prospectus,4/27/2018,,,
18456d90-4c4a-4c5f-b2c8-be886c7b92a4,USO,"United States Oil Fund, LP Units",0.45,-0.657,-0.207,0,-0.207,Prospectus,2/28/2018,,,
024a02ee-fb68-4c63-9911-ada38305fc9b,USOD,United States 3x Short Oil Fund,0.95,0.54,1.49,-0.49,1,Prospectus Supplement,11/15/2017,,,
3a986c13-493e-4c06-84cb-5366fad1a56f,USOU,United States 3x Oil Fund,0.95,0.49,1.44,-0.44,1,Prospectus Supplement,11/15/2017,,,
700d9b52-7213-45d5-b73b-dc5f3f2c84f9,UUP,Invesco DB US Dollar Index Bullish Fund,0.75,0.04,0.79,0,0.79,Prospectus,6/15/2018,,,
4b202f64-9e30-4b77-8939-5d66ec138fbb,UVXY,ProShares Ultra VIX Short-Term Futures ETF,0.95,0.36,1.31,0,1.31,Prospectus,2/27/2018,,,
7cd60e47-6ed6-4fb5-9f99-37439b9f4291,VIXM,ProShares VIX Mid-Term Futures ETF,0.85,0.05,0.9,0,0.9,Prospectus,3/29/2018,,,
8fe83b60-d3c5-4e10-b513-78fd3f264ff2,VIXY,ProShares VIX Short-Term Futures ETF,0.85,0.11,0.96,0,0.96,Prospectus,2/27/2018,,,
e11c5941-c662-4295-93e5-54c3d1da7f2f,WEAT,Teucrium Wheat Fund,1,2.64,3.64,0,3.64,Prospectus,4/30/2018,,,
3b75367c-f599-4593-a6ae-8450794df4a7,XDIV,U.S. Equity Ex-Dividend FundSeries 2027 Shares,0.29,0.27,0.56,0,0.56,Prospectus,2/5/2018,,,
ab12ac0c-a836-47aa-a624-806adf47f402,YCL,ProShares Ultra Yen,0.95,0.06,1.01,0,1.01,Prospectus,3/29/2018,,,
4e9d9eaf-c6fc-49e4-bd91-414c6507c5b9,YCS,ProShares UltraShort Yen,0.95,0.06,1.01,0,1.01,Prospectus,2/6/2018,,,
92ed6934-9078-4cce-ad1f-58817adb9e3f,ZSL,ProShares UltraShort Silver,0.95,0.72,1.67,0,1.67,Prospectus,3/29/2018,,,
